,index,DATDEP,DELAY_ARR
0,63241,2019-04-01,-65.0
1,126514,2019-04-02,116.0
2,201990,2019-04-03,344.0
3,263378,2019-04-04,101.0
4,313113,2019-04-05,-97.0
5,399680,2019-04-06,15.0
6,416091,2019-04-07,-47.0
7,455725,2019-04-08,-53.0
8,531603,2019-04-09,13.0
9,605227,2019-04-10,130.0
10,705633,2019-04-11,-11.0
11,772614,2019-04-12,-40.0
12,798063,2019-04-13,-11.0
13,845951,2019-04-14,-49.0
14,920609,2019-04-15,112.0
15,955032,2019-04-16,64.0
16,1058029,2019-04-17,23.0
17,1104421,2019-04-18,86.0
18,1185684,2019-04-19,-65.0
19,1219049,2019-04-20,156.0
20,1268078,2019-04-21,104.0
21,1286067,2019-04-22,910.0
22,1340051,2019-04-23,105.0
23,1443174,2019-04-24,1.0
